epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
2,134,13840,0.0060839029,0.3270571059,1.6412885189,67,18431,0.0008005556,0.1117752195,70.0197577477,20,19620,9.078730813807952e-05,0.0285803404,38.2498314381
2.5,113,8952,0.0309984756,0.3909318202,2.2475659847,79,16625,0.0023301704,0.1904331429,107.5140345097,41,19118,0.0002116429,0.0641338698,57.0794754028
3,55,3837,0.0183310216,0.2728849973,2.8946595192,85,13416,0.0086222977,0.2347816997,163.1731338501,88,17900,0.0006188734,0.1383655941,94.860291481
3.5,34,1502,0.0057524305,0.1865151882,3.7780926228,61,10046,0.0186891767,0.256884076,221.3538782597,142,16106,0.0016994482,0.2224514922,124.2985665798
4,14,406,0.0020930907,0.0732777362,4.5690877438,30,6426,0.0124763615,0.1590458947,286.6574537754,168,12253,0.0073049912,0.3266184241,177.0215332508
4.5,5,129,3.70473418880635e-05,0.0103378584,5.3895392418,15,4371,0.0035764161,0.0517162533,330.1824395657,44,7575,0.0062966187,0.135788386,222.446136713
5,1,30,-1.7876166829119428e-06,0.0010674974,6.2219190598,7,2281,0.0016915161,0.0408310196,401.7461669445,12,2375,0.0019243505,0.061184077,289.5561726093
5.5,1,6,-1.0587510695214447e-06,0.0001845532,7.1372923851,3,1278,0.0006532844,0.0227825957,479.4941532612,2,415,1.4517961244448229e-05,0.0051268416,348.8494668007
6,1,1,-1.3623599430644388e-07,-5.315462442336982e-07,8.0318565369,2,620,0.0001496428,0.0104503041,538.8390080929,2,45,-5.769417598030814e-06,0.0044298683,424.9860093594
6.5,1,1,-1.3623599430644388e-07,-5.315462442336982e-07,8.840113163,1,397,7.539879481137995e-05,0.008150173,618.1353759766,1,16,-2.7373512389431993e-06,0.000431094,488.7045140266
7,1,0,0,-2.526855532268238e-16,9.5994179249,1,185,2.9771280441593474e-05,0.0062660152,685.6809215546,1,4,-7.163708769983541e-07,3.008444969147792e-05,560.2344286442
7.5,1,0,0,-2.526855532268238e-16,10.3373584747,1,110,5.352613215989101e-06,0.0032530325,736.7608766556,1,1,-1.3623599430644388e-07,-5.315462442336982e-07,609.8067216873
8,1,0,0,-2.526855532268238e-16,11.0339288712,1,117,2.0065285870456025e-05,0.0052817946,805.2351734638,1,0,0,-2.526855532268238e-16,686.4041748047
8.5,1,0,0,-2.526855532268238e-16,11.6560111046,1,36,1.8893202910102617e-06,0.0010401988,832.9151549339,1,0,0,-2.526855532268238e-16,733.3691983223
9,1,0,0,-2.526855532268238e-16,12.3589377403,1,16,-1.5498872426822711e-06,0.000836866,906.3695428371,1,0,0,-2.526855532268238e-16,802.8744089603
9.5,1,0,0,-2.526855532268238e-16,12.787760973,1,2,-4.397357924801155e-07,3.9184761551218974e-05,900.3062791824,1,0,0,-2.526855532268238e-16,826.3392159939
