epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
1,2,0,0.568115942,0.731584761,0.001994848,2,66,0.645089645,0.663936176,0.017001867,2,91,0.498500771,0.587782116,0.013969421
1.05,2,0,0.568115942,0.731584761,0.000958681,1,89,0.211415132,0.253498078,0.018951416,2,88,0.499490666,0.586584914,0.013992786
1.1,2,0,0.568115942,0.731584761,0.001996994,3,56,0.373894169,0.474623411,0.013960123,2,87,0.500698285,0.587015664,0.012965202
1.15,2,0,0.568115942,0.731584761,0.001975775,1,75,0.379155455,0.412432173,0.018977165,2,81,0.518427923,0.59713851,0.012965918
1.2,2,0,0.568115942,0.731584761,0.00199461,2,31,0.49547357,0.552739945,0.01695466,2,79,0.523522692,0.599536731,0.01396203
1.25,2,0,0.568115942,0.731584761,0.001995325,1,68,0.392642632,0.415664205,0.015984297,2,75,0.527692121,0.596849575,0.015957594
1.3,2,0,0.568115942,0.731584761,0.000966549,2,38,0.339285044,0.435804783,0.016947269,2,70,0.527382889,0.589277225,0.014988661
1.35,2,0,0.568115942,0.731584761,0.00096941,2,29,0.594990568,0.664057519,0.013964653,2,63,0.571405518,0.630063603,0.014958382
1.4,2,0,0.568115942,0.731584761,0.000970364,1,58,0.488859237,0.541709052,0.020943403,3,48,0.534089298,0.601121522,0.015957594
1.45,2,0,0.568115942,0.731584761,0.002024412,2,10,0.549191331,0.672323172,0.017952919,3,44,0.559652947,0.615369964,0.01499033
1.5,2,0,0.568115942,0.731584761,0.00199461,1,54,0.531229047,0.637018914,0.015957832,3,37,0.566507476,0.619535118,0.015956879
1.55,2,0,0.568115942,0.731584761,0.001994371,1,62,0.475189575,0.553097978,0.021942854,3,37,0.566507476,0.619535118,0.015984774
1.6,2,0,0.568115942,0.731584761,0.001993895,2,11,0.56376612,0.699523072,0.015957594,3,34,0.560590995,0.617194891,0.016924381
1.65,1,0,0,0,0.001995087,1,59,0.479185853,0.526597026,0.018985987,3,30,0.592473277,0.638165469,0.015966892
1.7,1,0,0,0,0.001993179,2,28,0.57321202,0.646495365,0.014960766,3,27,0.594526372,0.641044761,0.016974211
1.75,1,0,0,0,0.000939131,2,12,0.542300444,0.643190792,0.014958858,3,22,0.595353048,0.644212731,0.016955853
1.8,1,0,0,0,0.001997709,2,24,0.603740427,0.675448011,0.013903856,3,19,0.614329122,0.659217994,0.016994953
1.85,1,0,0,0,0.001994371,2,17,0.535571366,0.610840371,0.013001919,3,16,0.606721223,0.65689448,0.017945766
1.9,1,0,0,0,0.001987696,2,3,0.562136425,0.708169306,0.012965441,3,13,0.611174552,0.663728114,0.015987396
1.95,1,0,0,0,0.00199604,2,7,0.559629277,0.699777108,0.014958382,2,7,0.551005126,0.663950586,0.015985966
2,1,0,0,0,0.001995325,1,57,0.498906332,0.558809756,0.016953945,2,5,0.55581283,0.677272294,0.016925097
