epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
1,5,122,0.085108095,0.290357201,0.054875135,4,193,0.095333895,0.320348143,1.547802448,3,282,0.028117413,0.187578933,1.388285875
1.01,4,117,0.084898055,0.286875825,0.064828157,3,191,0.064481788,0.215297641,1.341440439,3,268,0.037507683,0.208620221,1.293509722
1.02,4,114,0.088763101,0.295873723,0.053876877,4,179,0.108072004,0.326050387,1.30049181,3,262,0.039989258,0.218683014,1.333403349
1.03,3,111,0.054073844,0.208563774,0.056877375,2,190,0.065012791,0.197863279,1.777215958,3,262,0.039989258,0.218683014,1.483062983
1.04,2,110,0.044969564,0.173423762,0.055819511,5,173,0.086746259,0.29183379,1.337421656,3,255,0.047495719,0.238455439,1.342447996
1.05,2,107,0.045376522,0.179857777,0.055820465,4,177,0.077682462,0.254988029,1.327448606,3,243,0.051608028,0.240274117,1.375493765
1.06,2,106,0.044664134,0.178514585,0.054852962,1,173,0.047816861,0.12867432,1.503977299,3,240,0.054858104,0.24684431,1.407233953
1.07,2,100,0.043472363,0.178682608,0.059841633,1,183,0.067506847,0.187410374,1.397262096,3,235,0.061733914,0.264643433,1.431169987
1.08,3,83,0.036867647,0.185792223,0.054824352,2,166,0.069501503,0.212010335,1.352381468,3,235,0.061733914,0.264643433,1.375319719
1.09,3,81,0.03695941,0.187926783,0.054853678,2,152,0.058163176,0.177599617,1.381304502,2,234,0.052483467,0.199171541,1.347425222
1.1,3,72,0.033101742,0.182795493,0.054815769,2,138,0.051746209,0.172481627,1.353409767,2,231,0.054836714,0.203213269,1.326451778
1.11,3,68,0.032692793,0.183247854,0.055880547,1,135,0.042181919,0.123839112,1.382277012,3,201,0.062432278,0.211637032,1.340464115
1.12,4,53,0.033789215,0.204057003,0.05487442,1,133,0.040356739,0.127492116,1.387229204,2,194,0.063979149,0.197641348,1.384297609
1.13,4,47,0.031973981,0.198896416,0.056848049,3,131,0.04987657,0.179227149,1.375350237,2,191,0.067225076,0.203001533,1.359334469
1.14,4,46,0.030760375,0.195601672,0.055880547,2,133,0.05661115,0.18858206,1.3343997,2,190,0.068684547,0.205755477,1.341412544
1.15,4,43,0.028594303,0.189263265,0.055850744,2,112,0.039994989,0.150134569,1.36435008,2,188,0.069871835,0.206963406,1.344463348
1.16,4,42,0.028726239,0.191133849,0.055855513,3,118,0.04581591,0.184158756,1.36534214,1,181,0.058742249,0.160375975,1.342402697
1.17,4,41,0.028264585,0.190123585,0.054882288,2,127,0.062654178,0.204977711,1.346397638,1,177,0.062668045,0.171236741,1.35841465
1.18,4,36,0.021692589,0.166602855,0.055890322,3,107,0.038073182,0.16319016,1.358364344,1,167,0.054105564,0.144647262,1.362328291
1.19,3,35,0.013176236,0.116306052,0.055850267,3,80,0.024060278,0.134331623,1.324477673,1,158,0.053210667,0.143368307,1.354456663
1.2,2,33,0.007453695,0.073388679,0.05585146,3,97,0.037317007,0.163568794,1.37832427,1,153,0.050996937,0.139496032,1.472062826
1.21,2,29,0.006504347,0.067752949,0.055880308,2,89,0.024718236,0.122377408,1.355424881,1,144,0.045845423,0.129401849,1.363854408
1.22,2,25,0.006786158,0.074245373,0.055850029,3,81,0.02879579,0.15016816,1.383329153,2,130,0.049700666,0.165884772,1.360331297
1.23,2,23,0.006851415,0.074969793,0.055850506,2,72,0.027712176,0.13993699,1.36531806,2,123,0.051170884,0.169926179,1.35435462
1.24,2,19,0.006993022,0.079764615,0.056810617,2,80,0.025330731,0.12717458,1.441153049,2,123,0.051170884,0.169926179,1.422157764
1.25,2,12,0.00362038,0.054490894,0.054845095,1,72,0.015494465,0.086085385,1.361371994,2,121,0.05093893,0.171565727,1.36833787
1.26,2,11,0.00330863,0.05068838,0.055822611,2,54,0.012049632,0.090611227,1.384334326,2,100,0.037445114,0.14397999,1.375289202
1.27,2,6,0.002943082,0.044944348,0.055842876,1,67,0.016635602,0.099391119,1.37669754,1,95,0.030203553,0.119870926,1.384258509
1.28,2,6,0.002943082,0.044944348,0.055850744,1,59,0.013457182,0.080516539,1.382301807,1,90,0.030072265,0.123871173,1.367381811
1.29,2,6,0.002943082,0.044944348,0.055850506,1,59,0.01496841,0.095234718,1.400282145,1,81,0.024957727,0.114540391,1.400342703
1.3,2,6,0.002631155,0.041023687,0.055848122,2,37,0.011269123,0.100831314,1.442141771,1,72,0.017758563,0.093079941,1.450150728
1.31,2,5,0.002234188,0.036699804,0.057842016,1,52,0.01359074,0.082833526,1.429346561,1,62,0.014319998,0.082199469,1.385294676
1.32,2,5,0.002234188,0.036699804,0.055853367,1,40,0.004949531,0.045273286,1.332403183,1,56,0.01063489,0.072004387,1.483035088
1.33,1,5,0.000160138,0.005150777,0.055814266,1,42,0.005966042,0.057870858,1.361395121,1,51,0.008071394,0.061117418,1.427181721
1.34,1,5,0.000160138,0.005150777,0.056848049,1,42,0.007931831,0.066191516,1.740346432,1,48,0.007821751,0.063570951,1.403244257
1.35,1,4,4.16E-05,0.001814179,0.055850744,2,18,0.003067598,0.042757522,1.379339933,1,46,0.006656604,0.058044524,1.442112446
1.36,1,4,4.16E-05,0.001814179,0.056847811,1,34,0.004412645,0.04398959,1.397297859,1,45,0.00669756,0.058524479,1.42515111
1.37,1,3,5.43E-05,0.002359335,0.054854393,1,43,0.005033184,0.043319081,1.411224127,1,41,0.005091212,0.049588974,1.444139004
1.38,1,3,5.43E-05,0.002359335,0.05688262,1,35,0.008534402,0.079317834,1.394262314,1,34,0.00354678,0.03847869,1.558864355
1.39,1,3,5.43E-05,0.002359335,0.056848049,1,31,0.002187253,0.023147507,1.479043007,1,29,0.003223035,0.035937739,1.521930933
1.4,1,3,5.43E-05,0.002359335,0.054852486,1,17,0.001392653,0.022148359,1.43316412,1,28,0.00334378,0.039190333,1.435162306
