epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
250,14.0,1811.0,0.0017444281525345307,0.10626060595706646,0.0827188491821289,1.0,1989.0,0.00011086477774983653,0.009624588789026165,0.39397478103637695,0.0,2000.0,0.0,0.0,0.3929719924926758
257,13.0,1751.0,0.0035142874304323513,0.13841018593654011,0.08485579490661621,3.0,1965.0,0.00021775412046949515,0.016303561621942016,0.3659789562225342,0.0,2000.0,0.0,0.0,0.39597201347351074
264,14.0,1654.0,0.007532342595163114,0.17310313138282887,0.0847635269165039,3.0,1963.0,0.0005085123559038415,0.031314168581788815,0.376997709274292,2.0,1978.0,0.00018249575820176252,0.01877766264231205,0.4118671417236328
271,16.0,1529.0,0.01443186201309718,0.20242402133180676,0.08779478073120117,1.0,1987.0,0.0001574356467942561,0.011589112700058048,0.3899261951446533,2.0,1976.0,0.00020445117701047347,0.018236248457994996,0.4069390296936035
278,19.0,1400.0,0.023091624920158642,0.2119663697827259,0.08876252174377441,5.0,1910.0,0.0007333009084622487,0.05513035366818059,0.43637561798095703,3.0,1962.0,0.0003051088558813984,0.02446521370561239,0.41391849517822266
285,14.0,1290.0,0.025791268769109782,0.15304369481106775,0.10471916198730469,4.0,1936.0,0.0006915679774772247,0.036249878442607505,0.42187070846557617,3.0,1959.0,0.00038082789507517796,0.027090231794944634,0.45175814628601074
292,14.0,1102.0,0.03815104466684514,0.14866788810621775,0.0888218879699707,3.0,1914.0,0.0015526746989605994,0.04128549108571286,0.436767578125,4.0,1947.0,0.0006891729012038486,0.03644355364332508,0.43589115142822266
299,10.0,938.0,0.050221607817806845,0.12749220553596646,0.10067129135131836,11.0,1770.0,0.0049552325925478645,0.12463440476391408,0.4787557125091553,6.0,1923.0,0.001001352439699505,0.05042632177949047,0.692145586013794
306,10.0,798.0,0.021846980637104118,0.0713362815367339,0.09574294090270996,10.0,1741.0,0.0053745049614464975,0.12398266484360795,0.45677852630615234,7.0,1908.0,0.0011980305502337603,0.05704329358428207,0.583430290222168
313,14.0,646.0,0.02576188359646183,0.09765881165371108,0.09375143051147461,16.0,1730.0,0.0031387560487277054,0.12532021014768457,0.564490556716919,9.0,1880.0,0.0013790857311909255,0.07483416645699478,0.4687795639038086
320,9.0,508.0,0.016903877128943617,0.06775472249729232,0.09680008888244629,11.0,1639.0,0.00830534999496423,0.16194507675170755,0.4707159996032715,11.0,1845.0,0.0020444346739629856,0.08773389596905812,0.4607396125793457
327,9.0,386.0,0.008919935061269972,0.05703159134163625,0.09771180152893066,16.0,1554.0,0.011904899893812281,0.17189966599445985,0.47672319412231445,12.0,1826.0,0.002305672823954851,0.09613242508889462,0.4747581481933594
334,5.0,298.0,0.0077402593551993484,0.036222287160858145,0.09973382949829102,12.0,1499.0,0.01645919733177199,0.1865487818112351,0.5175845623016357,19.0,1731.0,0.00403519281177214,0.12969564927062732,0.4807407855987549
341,3.0,235.0,0.004952812953889848,0.0323132773562768,0.10471749305725098,14.0,1450.0,0.020283835646252548,0.18137138861981245,0.4897189140319824,22.0,1672.0,0.005981614618344814,0.14728123087573108,0.4916558265686035
348,1.0,174.0,0.0016314329676959745,0.0077923650456433865,0.1017303466796875,15.0,1356.0,0.0317131668343295,0.19569369039514709,0.4946444034576416,24.0,1606.0,0.0069057304175672695,0.1682673696413003,0.5016555786132812
355,1.0,137.0,0.0010042180725196733,0.006831686582540771,0.10571670532226562,14.0,1268.0,0.03816585200758487,0.20728232062337815,0.5235681533813477,25.0,1547.0,0.007461309106457386,0.17463154707023898,0.5166878700256348
362,1.0,109.0,0.0006234552183123387,0.005575519752264765,0.10572481155395508,10.0,1238.0,0.04298713076965195,0.11715442334800154,0.5515201091766357,27.0,1491.0,0.008679329134639634,0.1871380613801829,0.5296125411987305
369,1.0,80.0,0.00024787165562453897,0.002800130829204897,0.1076817512512207,11.0,1144.0,0.03573716662579229,0.16649866725819198,0.5923840999603271,27.0,1407.0,0.012782321172821385,0.19216368235045792,0.5355949401855469
376,1.0,59.0,4.9608399328648324e-05,0.0007217535438558323,0.10968589782714844,7.0,1068.0,0.03622842489206929,0.12088567519953627,0.5445530414581299,23.0,1323.0,0.021191754932239546,0.18664735532769725,0.5654861927032471
383,1.0,38.0,-2.0472870333804195e-05,-0.0005619125696857063,0.11164188385009766,9.0,980.0,0.04252522106565236,0.15152860988383451,0.5834379196166992,26.0,1198.0,0.01377162184357844,0.14013183959227596,0.57645583152771
390,1.0,28.0,7.1771518798512166e-06,0.00019405956105225723,0.11569023132324219,5.0,944.0,0.0905127302849535,0.18617721345537125,0.6054112911224365,23.0,1082.0,0.023373593466555088,0.1446887869050378,0.6203572750091553
397,1.0,24.0,1.653796252496472e-05,0.000657662597290391,0.11572742462158203,3.0,868.0,0.0018287254573256398,0.014475103288914848,0.6223251819610596,21.0,997.0,0.02793374441128073,0.15015221447284713,0.5884768962860107
404,1.0,20.0,3.127014711476787e-05,0.0014051504075815334,0.12170004844665527,6.0,843.0,0.016445773558521462,0.04877205658385301,0.6432483196258545,18.0,957.0,0.021930318654981188,0.12346102886845294,0.8237638473510742
411,1.0,13.0,6.803372907635435e-06,0.0005096360667223528,0.1186821460723877,4.0,809.0,0.006254751194733328,0.02524913839288137,0.6263227462768555,16.0,857.0,0.025899486394623965,0.13557629700429966,0.6924238204956055
