epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,0,210,0,0,0.002001286,0,210,0,0,0.010009527,0,210,0,0,0.012011528
0.2,0,210,0,0,0.001997709,0,210,0,0,0.010982752,0,210,0,0,0.012050152
0.3,0,210,0,0,0.002001286,0,210,0,0,0.012010336,0,210,0,0,0.012007952
0.4,0,210,0,0,0.002002239,0,210,0,0,0.013041258,0,210,0,0,0.012010574
0.5,1,200,0.008599802,0.077383078,0.002000809,0,210,0,0,0.010009527,0,210,0,0,0.012012005
0.6,4,158,0.057508959,0.250768641,0.002015591,0,210,0,0,0.012041569,0,210,0,0,0.012014866
0.7,3,119,0.246395528,0.418096325,0.001965761,0,210,0,0,0.013048649,0,210,0,0,0.013975382
0.8,4,79,0.367805302,0.489693014,0.002030849,1,195,0.020526247,0.117545308,0.015018702,0,210,0,0,0.01198101
0.9,3,50,0.291314599,0.380599318,0.002999544,1,191,0.034022101,0.149088233,0.014012575,1,199,0.007693149,0.059725072,0.014016628
1,3,37,0.317159569,0.406744393,0.002002239,3,147,0.081376998,0.299652688,0.015014172,1,196,0.010737188,0.065872063,0.01402092
1.1,2,19,0.382489454,0.442589156,0.002965212,2,159,0.126472446,0.317014781,0.016052246,1,195,0.012938517,0.072910664,0.01601553
1.2,1,16,0.00362984,0.016788507,0.001998425,3,106,0.247508984,0.436621026,0.016014814,1,193,0.017990039,0.087118328,0.014975309
1.3,1,11,0.001674391,0.012375609,0.003002644,1,126,0.211489308,0.254339967,0.020018578,1,186,0.042744386,0.138113942,0.017015934
1.4,1,8,0.00190968,0.025113017,0.003002644,3,101,0.127536505,0.267718097,0.017988443,1,181,0.067496882,0.175929394,0.016044378
1.5,1,7,0.001144238,0.018809094,0.002002478,2,114,0.331441038,0.412972925,0.019989014,2,165,0.083944427,0.217166102,0.016052485
