epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.5,7,4428,-0.014228027,0.046285617,0.403439999,6,4442,-0.017131006,0.041311274,4.235352039,3,4543,-0.003948978,0.018971781,6.887016296
1.5,9,4329,-0.02034943,0.063559001,0.435104132,7,4357,-0.017184447,0.059906091,5.469130278,3,4543,-0.003948978,0.018971781,7.11442852
2.5,13,4221,-0.029151876,0.069078494,0.469868422,11,4289,-0.023681333,0.065372868,6.32543993,4,4531,-0.005666919,0.021670112,7.161858797
3.5,18,3672,-0.025173644,0.095919092,0.508722544,13,3968,-0.036277745,0.083995615,8.160814762,4,4529,-0.005947807,0.022173416,7.451858997
4.5,16,2697,0.042773301,0.08677461,0.54655838,14,3154,0.009104889,0.088468946,9.719902992,6,4498,-0.006671505,0.026142426,7.776325464
5.5,11,2092,0.094340053,0.080852137,0.590454817,11,2462,0.047948166,0.077062902,11.05690336,13,4353,-0.005694081,0.0286845,7.920232773
6.5,10,1811,0.124926976,0.085372719,0.634303808,7,2140,0.099980698,0.079770268,12.68091369,18,4148,-0.003821966,0.029696549,8.355885029
7.5,16,1536,0.12951821,0.082614057,0.678309202,6,1836,0.120050292,0.084423407,13.87660384,30,3760,-0.006075098,0.02961497,8.785586119
8.5,13,1368,0.131977668,0.084899057,0.716178894,12,1610,0.124384721,0.07802425,15.97221279,28,2999,-0.015583504,0.03587011,9.186619282
9.5,11,1245,0.133232491,0.086563886,0.761900187,9,1499,0.133470304,0.08799866,17.05136967,11,2008,0.053811391,0.063107285,9.843945026
10.5,19,1053,0.14292805,0.087825937,0.798885822,6,1375,0.144187889,0.087788476,19.66685748,10,1470,0.114200039,0.068324247,10.26092792
11.5,21,904,0.131017723,0.081660203,0.845841885,8,1227,0.136507327,0.081104614,20.79405928,8,1291,0.12749082,0.081105724,10.76649642
