epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.5,0.0,178.0,0.0,-1.2026014029091173e-15,0.0029931068420410156,0.0,178.0,0.0,-1.2026014029091173e-15,0.007978439331054688,0.0,178.0,0.0,-1.2026014029091173e-15,0.009973287582397461
5.5,0.0,178.0,0.0,-1.2026014029091173e-15,0.001994609832763672,0.0,178.0,0.0,-1.2026014029091173e-15,0.007978439331054688,0.0,178.0,0.0,-1.2026014029091173e-15,0.009973526000976562
10.5,0.0,178.0,0.0,-1.2026014029091173e-15,0.0029916763305664062,0.0,178.0,0.0,-1.2026014029091173e-15,0.010970830917358398,0.0,178.0,0.0,-1.2026014029091173e-15,0.016960620880126953
15.5,2.0,158.0,0.008060483317577883,0.030169608933396395,0.001965045928955078,0.0,178.0,0.0,-1.2026014029091173e-15,0.008975744247436523,0.0,178.0,0.0,-1.2026014029091173e-15,0.009974002838134766
20.5,3.0,133.0,0.04536748543907904,0.09491686087520636,0.0019943714141845703,1.0,165.0,0.00512437206290652,0.014662234407478533,0.00997304916381836,0.0,178.0,0.0,-1.2026014029091173e-15,0.010970354080200195
25.5,4.0,68.0,0.18228994172389362,0.28143511010577377,0.0019948482513427734,1.0,153.0,0.03955083002368064,0.07077132293936554,0.009972810745239258,1.0,162.0,0.01606241377818096,0.03228218874357542,0.012965202331542969
30.5,4.0,43.0,0.29860700316984495,0.36193322356303226,0.0019943714141845703,1.0,162.0,-0.0027090505058601022,0.06309718090487375,0.00997614860534668,1.0,162.0,0.01606241377818096,0.03228218874357542,0.009972810745239258
35.5,4.0,24.0,0.2809802854494332,0.3678407479055852,0.0029914379119873047,3.0,132.0,0.018858823169842037,0.13774875798329062,0.010969877243041992,1.0,162.0,0.01606241377818096,0.03228218874357542,0.010971546173095703
40.5,4.0,19.0,0.27735566035289766,0.3649910932720292,0.0029921531677246094,2.0,131.0,0.06123125993886512,0.16821447012744328,0.00997304916381836,2.0,148.0,0.031652914649174975,0.1131474004757771,0.010970592498779297
45.5,4.0,15.0,0.2873121502800752,0.3744734995034135,0.0029921531677246094,3.0,117.0,0.10934769167919367,0.21190119717053915,0.010970354080200195,2.0,144.0,0.026701837470202234,0.11699864451408401,0.011967897415161133
50.5,3.0,13.0,0.23322766060407973,0.36912288931452847,0.002991914749145508,3.0,124.0,0.06365171847851003,0.14218271384355072,0.009973287582397461,2.0,138.0,0.035577670611884354,0.1370199747115516,0.011968612670898438
55.5,3.0,11.0,0.23389646019330715,0.35916119285728654,0.002991914749145508,3.0,102.0,0.1604765828045659,0.2298112457445301,0.009973287582397461,2.0,134.0,0.05172795990478981,0.15561083341372287,0.012965679168701172
60.5,3.0,7.0,0.24671097100969339,0.3807047206899159,0.0029921531677246094,2.0,98.0,0.15078619975379712,0.23362573173574913,0.010970115661621094,2.0,130.0,0.06897121499938394,0.17721643514338967,0.011967658996582031
65.5,2.0,6.0,0.04955700267879189,0.17084911939004882,0.0029914379119873047,4.0,93.0,0.08431048371626365,0.2518427719156146,0.009974002838134766,2.0,130.0,0.06897121499938394,0.17721643514338967,0.0109710693359375
70.5,2.0,6.0,0.04955700267879189,0.17084911939004882,0.0029914379119873047,3.0,109.0,0.09491290302185802,0.17861881513443728,0.019946813583374023,2.0,126.0,0.07257527076697166,0.18489759333878486,0.01196742057800293
75.5,2.0,6.0,0.04955700267879189,0.17084911939004882,0.0029916763305664062,2.0,86.0,0.1415585949758508,0.1695710051700947,0.0109710693359375,2.0,123.0,0.08239392782028339,0.1816351394784394,0.011967182159423828
80.5,1.0,6.0,0.006098792415482031,0.05200695929394081,0.0029914379119873047,2.0,46.0,0.2711358670178499,0.3339480477650032,0.011968135833740234,2.0,121.0,0.09270750445626803,0.1926019644577879,0.012964963912963867
85.5,1.0,6.0,0.006098792415482031,0.05200695929394081,0.0029921531677246094,2.0,86.0,0.16466818620637363,0.2483002126730641,0.010969877243041992,2.0,115.0,0.09817704606481863,0.18489425181558797,0.010971307754516602
90.5,1.0,6.0,0.006098792415482031,0.05200695929394081,0.0029926300048828125,2.0,74.0,0.2623906049680162,0.3407152248713544,0.009972333908081055,3.0,104.0,0.07981463203245712,0.2098762542670903,0.011967182159423828
