factor,n_clusters_db,n_noise_db,acc_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.01753377914428711,7.0,181.0,0.13333333333333333,0.07521881312043593,0.3163918114930863,0.3434014320373535,2.0,315.0,0.0,0.009670784998883636,0.10347916599369586,0.3350536823272705
0.2,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.017529964447021484,1.0,169.0,0.025,0.05918997453095201,0.17069921151215048,0.6625213623046875,3.0,244.0,0.0,0.05210094528837076,0.24995384009380847,0.6633074283599854
0.30000000000000004,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.017162084579467773,1.0,129.0,0.03333333333333333,0.04754468486785835,0.15195050951352554,0.9742763042449951,2.0,179.0,0.011111111111111112,0.06746313230542086,0.20147737036175334,0.9837100505828857
0.4,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.017080307006835938,2.0,119.0,0.03333333333333333,0.03789834757798085,0.13783536621834297,1.2996580600738525,1.0,128.0,0.022222222222222223,0.03588008895852553,0.10983842859775948,1.3159685134887695
0.5,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.01821613311767578,2.0,110.0,0.027777777777777776,0.04646521120910354,0.17931766748360123,1.6204628944396973,1.0,112.0,0.025,0.034168170175947456,0.12069701248177601,1.6558682918548584
0.6,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.01712799072265625,1.0,102.0,0.03611111111111111,0.026746788892243138,0.0995690132735267,1.990725040435791,1.0,100.0,0.03611111111111111,0.0298183629087866,0.11764760959503899,2.0480334758758545
0.7000000000000001,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.017578840255737305,1.0,103.0,0.03333333333333333,0.0328823554690261,0.1257370360474884,2.3007724285125732,1.0,97.0,0.03611111111111111,0.02925948635343809,0.1169944971412757,2.3680002689361572
0.8,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.01689314842224121,2.0,104.0,0.03611111111111111,0.03547065791537065,0.14415772021182005,2.619194269180298,1.0,95.0,0.03611111111111111,0.029061607968743273,0.11748141183650371,2.6651675701141357
0.9,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.017141103744506836,1.0,94.0,0.03333333333333333,0.02750411419560958,0.11171964253169547,2.9325249195098877,1.0,93.0,0.03611111111111111,0.02687791732366864,0.11016206331078382,3.000734806060791
1.0,3.0,72.0,0.0,0.033101741917087715,0.18279549344744628,0.017160415649414062,1.0,93.0,0.03611111111111111,0.02687791732366864,0.11016206331078382,3.2549047470092773,1.0,93.0,0.03611111111111111,0.02687791732366864,0.11016206331078382,3.3227977752685547
