factor,n_clusters_db,n_noise_db,acc_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.001260519027709961,3.0,101.0,0.19523809523809524,0.30249999876377215,0.460701546116032,0.02492547035217285,5.0,115.0,0.09047619047619047,0.13204040396154393,0.3398695950818274,0.024074792861938477
0.2,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0010409355163574219,3.0,56.0,0.3,0.29030721747682114,0.40454492991249374,0.04896712303161621,3.0,86.0,0.1619047619047619,0.37800403480332223,0.45674308535218117,0.05004382133483887
0.30000000000000004,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0010895729064941406,3.0,58.0,0.3047619047619048,0.2812445319178659,0.3984769477076476,0.07418942451477051,3.0,62.0,0.2904761904761905,0.24380850015674685,0.33392435502456863,0.07612180709838867
0.4,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0011777877807617188,3.0,55.0,0.3,0.27798811197768486,0.3810234276031698,0.09524250030517578,2.0,55.0,0.4380952380952381,0.3003109303545113,0.3746877187139853,0.09957051277160645
0.5,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0011227130889892578,2.0,42.0,0.4857142857142857,0.34712419154002194,0.41861643853884056,0.11883187294006348,2.0,44.0,0.47619047619047616,0.3406500890925878,0.4130679552387157,0.12918901443481445
0.6,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.001115560531616211,2.0,60.0,0.4142857142857143,0.2808926554987719,0.35836560519876115,0.14239835739135742,2.0,43.0,0.48095238095238096,0.3424097582988313,0.4151488824877981,0.1537303924560547
0.7000000000000001,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0011191368103027344,2.0,45.0,0.48095238095238096,0.3712124006740878,0.4494390684329014,0.16373968124389648,2.0,43.0,0.48095238095238096,0.3424097582988313,0.4151488824877981,0.18064188957214355
0.8,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0011446475982666016,3.0,40.0,0.32857142857142857,0.29877900467299134,0.3961311546366652,0.18538451194763184,2.0,40.0,0.49523809523809526,0.3572540247106234,0.42606370853880615,0.21361184120178223
0.9,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0011014938354492188,3.0,43.0,0.3142857142857143,0.29640810345020957,0.38923112662492926,0.21138620376586914,2.0,40.0,0.49523809523809526,0.3572540247106234,0.42606370853880615,0.2431490421295166
1.0,3.0,37.0,0.047619047619047616,0.31715956924932703,0.4067443925008359,0.0011320114135742188,2.0,40.0,0.49523809523809526,0.3572540247106234,0.42606370853880615,0.2609679698944092,2.0,40.0,0.49523809523809526,0.3572540247106234,0.42606370853880615,0.23916292190551758
